Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    NLD,     .,    .,     ., 1950, 1950, 14,   -99,   ACY,       1,0.00005,0.00000,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1950, 1950, 15,     1,   ACY,       1,0.00048,0.00005,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1950, 1950, 16,     1,   ACY,       1,0.00242,0.00053,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 17,     1,   ACY,       1,0.00801,0.00295,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 18,     1,   ACY,       1,0.01839,0.01096,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 19,     1,   ACY,       1,0.03175,0.02935,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 20,     1,   ACY,       1,0.04867,0.06110,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 21,     1,   ACY,       1,0.06917,0.10977,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 22,     1,   ACY,       1,0.09269,0.17894,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 23,     1,   ACY,       1,0.11862,0.27163,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 24,     1,   ACY,       1,0.14211,0.39025,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 25,     1,   ACY,       1,0.16316,0.53236,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 26,     1,   ACY,       1,0.17837,0.69552,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 27,     1,   ACY,       1,0.18901,0.87389,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 28,     1,   ACY,       1,0.19157,1.06290,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 29,     1,   ACY,       1,0.18790,1.25447,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 30,     1,   ACY,       1,0.18318,1.44237,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 31,     1,   ACY,       1,0.17541,1.62555,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 32,     1,   ACY,       1,0.16783,1.80096,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 33,     1,   ACY,       1,0.15697,1.96879,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 34,     1,   ACY,       1,0.14910,2.12576,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 35,     1,   ACY,       1,0.13864,2.27486,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 36,     1,   ACY,       1,0.12800,2.41350,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 37,     1,   ACY,       1,0.11469,2.54150,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 38,     1,   ACY,       1,0.10174,2.65619,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 39,     1,   ACY,       1,0.08803,2.75793,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 40,     1,   ACY,       1,0.07418,2.84596,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 41,     1,   ACY,       1,0.05963,2.92014,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 42,     1,   ACY,       1,0.04511,2.97977,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 43,     1,   ACY,       1,0.03167,3.02488,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 44,     1,   ACY,       1,0.02020,3.05655,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 45,     1,   ACY,       1,0.01137,3.07675,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 46,     1,   ACY,       1,0.00535,3.08812,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 47,     1,   ACY,       1,0.00212,3.09347,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 48,     1,   ACY,       1,0.00068,3.09559,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1950, 1950, 49,     1,   ACY,       1,0.00024,3.09627,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1950, 1950, 50,    99,   ACY,       1,0.00009,3.09651,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1951, 1951, 14,   -99,   ACY,       1,0.00008,0.00000,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1951, 1951, 15,     1,   ACY,       1,0.00056,0.00008,       ODE,  estimate,    NLD_01,   .,    2
    NLD,     .,    .,     ., 1951, 1951, 16,     1,   ACY,       1,0.00229,0.00064,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1951, 1951, 17,     1,   ACY,       1,0.00853,0.00293,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1951, 1951, 18,     1,   ACY,       1,0.01979,0.01146,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1951, 1951, 19,     1,   ACY,       1,0.03510,0.03125,       ODE,  estimate,    NLD_01,   .,    0
    NLD,     .,    .,     ., 1951, 1951, 20,     1,   ACY,       1,0.05195,0.06635,       ODE,  estimate,    NLD_01,   .,    0
